Example CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,
City,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Munich,1,3,7,7,6,4,8,8,7,5,9,9,5,9,9,8,6,10,10,7,11,11,8,12,12,9,13
Paris,1,4,8,8,7,5,9,9,6,6,10,10,6,10,10,7,7,11,11,8,12,12,9,13,13,10,14
Moscow,2,34,6,3,4,35,7,4,5,36,8,5,36,8,5,6,37,9,6,38,10,7,39,11,8,40,12
Madrid,3,7,-2,3,5,8,6,4,6,9,6,5,9,7,5,7,10,7,6,11,8,7,12,9,8,13,10
Rome,1,65,-34,4,,66,7,5,6,67,6,6,67,8,6,7,68,7,7,69,8,8,70,9,9,71,10
Barcelona,4,3,2,1,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18,-19,-20,-21,-22
Berlin,5,3,1,-1,-3,-5,-7,-9,-11,-13,-15,-17,-19,-21,-23,-25,-27,-29,-31,-33,-35,-37,-39,-41,-43,-45,-47
New York,6,3,0,-3,-6,-9,-12,-15,-18,-21,-24,-27,-30,-33,-36,-39,-42,-45,-48,-51,-54,-57,-60,-63,-66,-69,-72
Tokyo,7,8,9,10,11,12,13,14,15,3,17,18,13,14,15,16,4,18,19,5,19,20,6,20,21,7,21
Melbourn,8,2,-4,-10,-16,-22,-28,-34,-40,-46,5,-58,-21,-27,-33,-39,-45,6,-57,-44,7,-56,-43,8,-55,-42,9
San Francisco,9,2,-5,-12,5,-26,-33,-40,-47,3,-61,-68,-25,-32,-39,-46,4,-60,-67,5,-59,-66,6,-58,-65,7,-57
Rio,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Accra,9,2,-5,-12,-19,-26,-33,-40,-47,-54,-61,-68,-75,-82,-89,-96,-103,-110,-117,-124,-131,-138,-145,-152,-159,-166,-173
Munich,10,3,-4,-11,-18,-25,-32,-39,-46,-53,-60,-67,-74,-81,-88,-95,-102,-109,-116,-123,-130,-137,-144,-151,-158,-165,-172
Paris,11,4,-3,-10,-17,-24,-31,-38,-45,-52,-59,-66,-73,-80,-87,-94,-101,-108,-115,-122,-129,-136,-143,-150,-157,-164,-171
Moscow,12,5,-2,-9,-16,-23,-30,-37,-44,-51,-58,-65,-72,-79,-86,-93,-100,-107,-114,-121,-128,-135,-142,-149,-156,-163,-170
Madrid,13,6,-1,-8,-15,-22,-29,-36,-43,-50,-57,-64,-71,-78,-85,-92,-99,-106,-113,-120,-127,-134,-141,-148,-155,-162,-169
Rome,14,7,0,-7,-14,-21,-28,-35,-42,-49,-56,-63,-70,-77,-84,-91,-98,-105,-112,-119,-126,-133,-140,-147,-154,-161,-168
Barcelona,15,8,1,-6,-13,-20,-27,-34,-41,-48,-55,-62,-69,-76,-83,-90,-97,-104,-111,-118,-125,-132,-139,-146,-153,-160,-167
Berlin,16,9,2,-5,-12,-19,-26,-33,-40,-47,-54,-61,-68,-75,-82,-89,-96,-103,-110,-117,-124,-131,-138,-145,-152,-159,-166
New York,17,10,3,-4,-11,-18,-25,-32,-39,-46,-53,-60,-67,-74,-81,-88,-95,-102,-109,-116,-123,-130,-137,-144,-151,-158,-165
Tokyo,18,11,4,-3,-10,-17,-24,-31,-38,-45,-52,-59,-66,-73,-80,-87,-94,-101,-108,-115,-122,-129,-136,-143,-150,-157,-164
Melbourn,19,12,5,-2,-9,-16,-23,-30,-37,-44,-51,-58,-65,-72,-79,-86,-93,-100,-107,-114,-121,-128,-135,-142,-149,-156,-163
San Francisco,20,13,6,-1,-8,-15,-22,-29,-36,-43,-50,-57,-64,-71,-78,-85,-92,-99,-106,-113,-120,-127,-134,-141,-148,-155,-162
Rio,21,14,7,0,-7,-14,-21,-28,-35,-42,-49,-56,-63,-70,-77,-84,-91,-98,-105,-112,-119,-126,-133,-140,-147,-154,-161
Accra,22,15,8,1,-6,-13,-20,-27,-34,-41,-48,-55,-62,-69,-76,-83,-90,-97,-104,-111,-118,-125,-132,-139,-146,-153,-160
Munich,23,16,9,2,-5,-12,-19,-26,-33,-40,-47,-54,-61,-68,-75,-82,-89,-96,-103,-110,-117,-124,-131,-138,-145,-152,-159
Paris,24,17,10,3,-4,-11,-18,-25,-32,-39,-46,-53,-60,-67,-74,-81,-88,-95,-102,-109,-116,-123,-130,-137,-144,-151,-158
Moscow,25,18,11,4,-3,-10,-17,-24,-31,-38,-45,-52,-59,-66,-73,-80,-87,-94,-101,-108,-115,-122,-129,-136,-143,-150,-157
Madrid,26,19,12,5,-2,-9,-16,-23,-30,-37,-44,-51,-58,-65,-72,-79,-86,-93,-100,-107,-114,-121,-128,-135,-142,-149,-156
Rome,27,20,13,6,-1,-8,-15,-22,-29,-36,-43,-50,-57,-64,-71,-78,-85,-92,-99,-106,-113,-120,-127,-134,-141,-148,-155
Barcelona,28,21,14,7,0,-7,-14,-21,-28,-35,-42,-49,-56,-63,-70,-77,-84,-91,-98,-105,-112,-119,-126,-133,-140,-147,-154
Berlin,29,22,15,8,1,-6,-13,-20,-27,-34,-41,-48,-55,-62,-69,-76,-83,-90,-97,-104,-111,-118,-125,-132,-139,-146,-153
New York,30,23,16,9,2,-5,-12,-19,-26,-33,-40,-47,-54,-61,-68,-75,-82,-89,-96,-103,-110,-117,-124,-131,-138,-145,-152
Tokyo,31,24,17,10,3,-4,-11,-18,-25,-32,-39,-46,-53,-60,-67,-74,-81,-88,-95,-102,-109,-116,-123,-130,-137,-144,-151
